cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,5000,0.7153000235557556,0.8692179918289185,0.9323186106846298,0.18347316980361938,0.650344967842102,0.9477925896644592,0.9735463983110714,0.09420335292816162
1,6000,0.5098336338996887,0.4952144920825958,0.7037147803496782,0.5348049402236938,0.5706388354301453,0.7142420411109924,0.8451284169349605,0.3174054026603699
2,7000,0.3793589770793915,0.28508874773979187,0.5339370260056816,0.732193112373352,0.5127115249633789,0.6498488783836365,0.8061320477338911,0.37894541025161743
3,8000,0.7645063400268555,0.919430136680603,0.9588691968566948,0.13630491495132446,0.7466164231300354,1.0090261697769165,1.0045029466243076,0.0356830358505249
4,9000,165.88510131835938,64870.5859375,254.69704736706313,-60937.1875,163.4333038330078,62983.3671875,250.96487241743614,-60191.625
5,10000,177.53822326660156,74327.8046875,272.631261390729,-69821.125,151.81008911132812,54359.69140625,233.15164894602398,-51950.05859375
6,11000,3.6896114349365234,30.931745529174805,5.561631552806676,-28.056692123413086,4.249192714691162,41.66107177734375,6.4545388508664,-38.815101623535156
7,12000,1.9989560842514038,8.45622444152832,2.9079588101498826,-6.943615913391113,0.7601903080940247,1.1500964164733887,1.0724254829466655,-0.0991365909576416
8,13000,121.3794174194336,34782.63671875,186.50103677660883,-32673.14453125,120.45645141601562,34269.9296875,185.12139176091995,-32750.455078125
9,14000,230.3018341064453,125018.5234375,353.5795857193964,-117439.015625,228.17652893066406,122740.171875,350.3429346725862,-117300.6484375
10,15000,142.95545959472656,1486703.625,1219.3045661359592,-1396580.0,116.80448150634766,310710.84375,557.4144272890683,-296942.5
11,16000,131.85647583007812,41165.9453125,202.8939262582791,-38669.50390625,132.7618865966797,41749.3515625,204.3265806558217,-39898.47265625
12,17000,147.5591583251953,51322.296875,226.5442492649063,-48210.1875,153.4947967529297,55687.36328125,235.98170115763213,-53218.90234375
13,18000,0.8395123481750488,1.053991675376892,1.0266409671238004,0.009900331497192383,0.8150147199630737,1.1848843097686768,1.0885239132736941,-0.13238298892974854
14,19000,98.06287384033203,22731.556640625,150.76987975263825,-21352.58984375,94.50970458984375,21124.423828125,145.34243643246455,-20187.41796875
15,20000,93.07755279541016,20637.4140625,143.65727987992813,-19385.392578125,77.43479919433594,14356.7021484375,119.81945646862825,-13719.568359375
16,21000,736406470656.0,4.820077445076204e+24,2195467477571.9644,-4.527888801168801e+24,725186314240.0,4.674314443939889e+24,2162016291321.573,-4.4671993013966725e+24
17,22000,239.1684112548828,134664.703125,366.9668964974906,-126500.453125,241.88418579101562,137769.796875,371.17354010624194,-131664.328125
18,23000,41343000576.0,2.828403330096859e+22,168178575630.098,-2.656948139763125e+22,32146460672.0,1.710030064131478e+22,130768117831.96538,-1.6342599277407273e+22
19,24000,26.376344680786133,1665.6947021484375,40.81292322473897,-1563.721923828125,96.74577331542969,22205.560546875,149.01530306272238,-21220.650390625
20,25000,819409387520.0,1.2115322292600939e+25,3480707154099.7153,-1.138090207079434e+25,848853991424.0,1.300320904880726e+25,3605996263005.171,-1.2427046903173529e+25
21,26000,286.3357238769531,193326.390625,439.68897032447836,-181606.109375,306.5862731933594,221677.25,470.8261356381993,-211853.90625
22,27000,0.8638907670974731,1.1427668333053589,1.0690027283900443,-0.0734933614730835,0.8502956032752991,1.3821992874145508,1.1756697186772103,-0.32095515727996826
23,28000,0.8041133880615234,0.9714176654815674,0.9856052280104683,0.08746880292892456,0.7597931027412415,0.9960619211196899,0.9980290181751681,0.048072755336761475
24,29000,0.8238857388496399,1.0194123983383179,1.0096595457570428,0.04238349199295044,0.7332470417022705,1.1005932092666626,1.049091611474738,-0.0518268346786499
25,30000,143959277568.0,6.51055710400209e+23,806880232996.3282,-6.115893338000716e+23,145744347136.0,6.683017587844645e+23,817497253074.5681,-6.386898346297661e+23
26,31000,151.8672332763672,58115.84765625,241.07228720085186,-54591.91796875,148.94479370117188,55336.87109375,235.23790318260788,-52883.94140625
27,32000,4929.44091796875,4031773952.0,63496.251479910214,-3787371520.0,5046.8125,4228814336.0,65029.33442685693,-4041438976.0
28,33000,0.8344529271125793,1.0205460786819458,1.0102208068941887,0.041318535804748535,0.7734519243240356,1.0178616046905518,1.008891274960068,0.02723902463912964
29,34000,780.4652709960938,178805360.0,13371.812143460586,-167966336.0,699.4996337890625,130752768.0,11434.717661577832,-124959216.0
30,35000,110907925463040.0,1.6899343580908537e+29,411088111977329.44,-1.5874920619779625e+29,212382290804736.0,6.19080598576253e+29,786816750314997.4,-5.916496183820147e+29
31,36000,346.968994140625,284612.3125,533.4906864229215,-267358.375,344.9078674316406,281286.9375,530.3649097555381,-268822.34375
32,37000,330.1348876953125,257109.875,507.06003096280426,-241523.109375,338.2835693359375,269995.5625,519.6109722667527,-258031.265625
33,38000,466982207488.0,1.5671881067206746e+24,1251873838180.4592,-1.47218665416513e+24,445257056256.0,1.4247610839579393e+24,1193633563518.5278,-1.3616311375909345e+24
